list_name,name,label
street_address,148 Nassau St,148 Nassau St
street_address,149 Augusta Ave,149 Augusta Ave
street_address,149 Baldwin St,149 Baldwin St
street_address,149 Denison Ave,149 Denison Ave
street_address,14A Hickory St,14A Hickory St
street_address,15 Carlyle St,15 Carlyle St
street_address,15 Casimir St,15 Casimir St
street_address,15 Glen Baillie Pl,15 Glen Baillie Pl
street_address,15 Kensington Ave,15 Kensington Ave
street_address,15 Leonard Ave,15 Leonard Ave
street_address,15 Lippincott St,15 Lippincott St
street_address,15 Oxford St,15 Oxford St
street_address,15 St Andrew St,15 St Andrew St
street_address,15 Wales Ave,15 Wales Ave
street_address,150 Augusta Ave,150 Augusta Ave
street_address,150 Nassau St,150 Nassau St
street_address,151 Augusta Ave,151 Augusta Ave
street_address,151 Denison Ave,151 Denison Ave
street_address,152 Augusta Ave,152 Augusta Ave
street_address,152 Nassau St,152 Nassau St
street_address,153 Augusta Ave,153 Augusta Ave
street_address,153 Denison Ave,153 Denison Ave
street_address,153A Augusta Ave,153A Augusta Ave
street_address,153B Augusta Ave,153B Augusta Ave
street_address,154 Augusta Ave,154 Augusta Ave
street_address,155 Augusta Ave,155 Augusta Ave
street_address,155 Denison Ave,155 Denison Ave
street_address,155A Augusta Ave,155A Augusta Ave
street_address,156 Augusta Ave,156 Augusta Ave
street_address,157 Augusta Ave,157 Augusta Ave
street_address,157 Denison Ave,157 Denison Ave
street_address,158 Augusta Ave,158 Augusta Ave
street_address,159 Augusta Ave,159 Augusta Ave
street_address,15A Casimir St,15A Casimir St
street_address,16 1/2 Bellevue Ave,16 1/2 Bellevue Ave
street_address,16 12 Bellevue Ave,16 12 Bellevue Ave
street_address,16 Bellevue Ave,16 Bellevue Ave
street_address,16 Denison Sq,16 Denison Sq
street_address,16 Kensington Ave,16 Kensington Ave
street_address,16 Kensington Pl,16 Kensington Pl
street_address,16 Lippincott St,16 Lippincott St
street_address,16 Nassau St,16 Nassau St
street_address,16 Oxford St,16 Oxford St
street_address,160 Augusta Ave,160 Augusta Ave
street_address,160 Baldwin St,160 Baldwin St
street_address,161 Augusta Ave,161 Augusta Ave
street_address,161 Baldwin St,161 Baldwin St
street_address,163 Augusta Ave,163 Augusta Ave
street_address,165-169 Augusta Ave,165-169 Augusta Ave
street_address,165 Augusta Ave,165 Augusta Ave
street_address,167 Augusta Ave,167 Augusta Ave
street_address,168 Baldwin St,168 Baldwin St
street_address,169 Augusta Ave,169 Augusta Ave
street_address,169A Augusta Ave,169A Augusta Ave
street_address,17 Casimir St,17 Casimir St
street_address,17 Kensington Ave,17 Kensington Ave
street_address,17 Leonard Ave,17 Leonard Ave
street_address,17 Lippincott St,17 Lippincott St
street_address,17 Oxford St,17 Oxford St
street_address,17 St Andrew St,17 St Andrew St
street_address,17 Wales Ave,17 Wales Ave
street_address,170 Baldwin St,170 Baldwin St
street_address,171 Augusta Ave,171 Augusta Ave
street_address,171 Baldwin St,171 Baldwin St
street_address,172 Baldwin St,172 Baldwin St
street_address,173 Augusta Ave,173 Augusta Ave
street_address,173 Baldwin St,173 Baldwin St
street_address,173R Baldwin St,173R Baldwin St
street_address,174 Baldwin St,174 Baldwin St
street_address,175 Augusta Ave,175 Augusta Ave
street_address,175 Baldwin St,175 Baldwin St
street_address,176 Baldwin St,176 Baldwin St
street_address,177 Augusta Ave,177 Augusta Ave
street_address,177 Baldwin St,177 Baldwin St
street_address,178 Baldwin St,178 Baldwin St
street_address,179 Augusta Ave,179 Augusta Ave
street_address,179 Baldwin St,179 Baldwin St
street_address,17A Casimir St,17A Casimir St
street_address,18 1/2 Bellevue Ave,18 1/2 Bellevue Ave
street_address,18 1/2 Nassau St,18 1/2 Nassau St
street_address,18 Bellevue Ave,18 Bellevue Ave
street_address,18 Denison Sq,18 Denison Sq
street_address,18 Kensington Ave,18 Kensington Ave
street_address,18 Kensington Pl,18 Kensington Pl
street_address,18 Lippincott St,18 Lippincott St
street_address,18 Nassau St,18 Nassau St
street_address,18 Oxford St,18 Oxford St
street_address,180 Baldwin St,180 Baldwin St
street_address,181 Augusta Ave,181 Augusta Ave
street_address,181 Baldwin St,181 Baldwin St
street_address,182 Augusta Ave,182 Augusta Ave
street_address,182 Baldwin St,182 Baldwin St
street_address,183 Augusta Ave,183 Augusta Ave
street_address,184 Augusta Ave,184 Augusta Ave
street_address,184 Baldwin St,184 Baldwin St
street_address,185 Augusta Ave,185 Augusta Ave
street_address,185 Baldwin St,185 Baldwin St
street_address,185D Baldwin St,185D Baldwin St
street_address,186 Augusta Ave,186 Augusta Ave
street_address,186 Baldwin St,186 Baldwin St
street_address,187 Augusta Ave,187 Augusta Ave
street_address,187 Baldwin St,187 Baldwin St
street_address,188 Augusta Ave,188 Augusta Ave
street_address,188 Baldwin St,188 Baldwin St
street_address,189 Augusta Ave,189 Augusta Ave
street_address,189 Baldwin St,189 Baldwin St
street_address,189A Baldwin St,189A Baldwin St
street_address,19 Casimir St,19 Casimir St
street_address,19 Kensington Ave,19 Kensington Ave
street_address,19 Lippincott St,19 Lippincott St
street_address,19 Oxford St,19 Oxford St
street_address,19 Wales Ave,19 Wales Ave
street_address,190 Augusta Ave,190 Augusta Ave
street_address,190 Baldwin St,190 Baldwin St
street_address,191 Augusta Ave,191 Augusta Ave
street_address,191 Baldwin St,191 Baldwin St
street_address,191A Baldwin St,191A Baldwin St
street_address,192-194 Augusta Ave,192-194 Augusta Ave
street_address,192 Augusta Ave,192 Augusta Ave
street_address,192 Baldwin St,192 Baldwin St
street_address,193 1/2 Baldwin St,193 1/2 Baldwin St
street_address,193 Augusta Ave,193 Augusta Ave
street_address,193 Baldwin St,193 Baldwin St
street_address,194 Augusta Ave,194 Augusta Ave
street_address,194 Baldwin St,194 Baldwin St
street_address,195 Augusta Ave,195 Augusta Ave
street_address,195 Baldwin St,195 Baldwin St
street_address,196 Augusta Ave,196 Augusta Ave
street_address,196 Baldwin St,196 Baldwin St
street_address,197 1/2 Baldwin St,197 1/2 Baldwin St
street_address,197 Augusta Ave,197 Augusta Ave
street_address,198 Augusta Ave,198 Augusta Ave
street_address,198 Baldwin St,198 Baldwin St
street_address,199 Augusta Ave,199 Augusta Ave
street_address,199 Baldwin St,199 Baldwin St
street_address,199A Augusta Ave,199A Augusta Ave
street_address,19A Casimir St,19A Casimir St
street_address,1A Leonard Ave,1A Leonard Ave
street_address,2 Bellevue Ave,2 Bellevue Ave
street_address,2 Glen Baillie Pl,2 Glen Baillie Pl
street_address,2 Hickory St,2 Hickory St
street_address,2 Kensington Ave,2 Kensington Ave
street_address,2 Kensington Pl,2 Kensington Pl
street_address,2 Lippincott St,2 Lippincott St
street_address,2 Nassau St,2 Nassau St
street_address,2 St Andrew St,2 St Andrew St
street_address,20 1/2 Bellevue Ave,20 1/2 Bellevue Ave
street_address,20 12 Bellevue Ave,20 12 Bellevue Ave
street_address,20 Bellevue Ave,20 Bellevue Ave
street_address,20 Denison Sq,20 Denison Sq
street_address,20 Kensington Ave,20 Kensington Ave
street_address,20 Kensington Pl,20 Kensington Pl
street_address,20 Lippincott St,20 Lippincott St
street_address,20 Nassau St,20 Nassau St
street_address,20 Oxford St,20 Oxford St
street_address,20 St Andrew St,20 St Andrew St
street_address,200 Augusta Ave,200 Augusta Ave
street_address,200 Baldwin St,200 Baldwin St
street_address,200A Baldwin St,200A Baldwin St
street_address,201 Augusta Ave,201 Augusta Ave
street_address,201 Baldwin St,201 Baldwin St
street_address,202 Augusta Ave,202 Augusta Ave
street_address,202 Baldwin St,202 Baldwin St
street_address,203 Augusta Ave,203 Augusta Ave
street_address,203 Baldwin St,203 Baldwin St
street_address,204 Augusta Ave,204 Augusta Ave
street_address,204 Baldwin St,204 Baldwin St
street_address,205 Augusta Ave,205 Augusta Ave
street_address,205A Augusta Ave,205A Augusta Ave
street_address,206 Augusta Ave,206 Augusta Ave
street_address,206 Baldwin St,206 Baldwin St
street_address,207 Augusta Ave,207 Augusta Ave
street_address,208 Augusta Ave,208 Augusta Ave
street_address,209 Augusta Ave,209 Augusta Ave
street_address,21 Casimir St,21 Casimir St
street_address,21 Kensington Ave,21 Kensington Ave
street_address,21 Lippincott St,21 Lippincott St
street_address,21 Nassau St,21 Nassau St
street_address,21 Oxford St,21 Oxford St
street_address,21 Wales Ave,21 Wales Ave
street_address,210 Augusta Ave,210 Augusta Ave
street_address,213 Augusta Ave,213 Augusta Ave
street_address,214 Augusta Ave,214 Augusta Ave
street_address,215 Augusta Ave,215 Augusta Ave
street_address,217 Augusta Ave,217 Augusta Ave
street_address,218 Augusta Ave,218 Augusta Ave
street_address,218R Augusta Ave,218R Augusta Ave
street_address,219 Augusta Ave,219 Augusta Ave
street_address,21A Casimir St,21A Casimir St
street_address,22 Bellevue Ave,22 Bellevue Ave
street_address,22 Denison Sq,22 Denison Sq
street_address,22 Kensington Ave,22 Kensington Ave
street_address,22 Kensington Pl,22 Kensington Pl
street_address,22 Lippincott St,22 Lippincott St
street_address,22 Nassau St,22 Nassau St
street_address,22 Oxford St,22 Oxford St
street_address,220 Augusta Ave,220 Augusta Ave
street_address,221 Augusta Ave,221 Augusta Ave
street_address,222 Augusta Ave,222 Augusta Ave
street_address,223 Augusta Ave,223 Augusta Ave
street_address,224 Augusta Ave,224 Augusta Ave
street_address,225 Augusta Ave,225 Augusta Ave
street_address,226 Augusta Ave,226 Augusta Ave
street_address,227 Augusta Ave,227 Augusta Ave
street_address,228 Augusta Ave,228 Augusta Ave
street_address,229 Augusta Ave,229 Augusta Ave
street_address,23 Casimir St,23 Casimir St
street_address,23 Kensington Ave,23 Kensington Ave
street_address,23 Lippincott St,23 Lippincott St
street_address,23 Oxford St,23 Oxford St
street_address,23 St Andrew St,23 St Andrew St
street_address,23 Wales Ave,23 Wales Ave
street_address,230 Augusta Ave,230 Augusta Ave
street_address,234 Augusta Ave,234 Augusta Ave
street_address,235 Augusta Ave,235 Augusta Ave
street_address,236 Augusta Ave,236 Augusta Ave
street_address,237 Augusta Ave,237 Augusta Ave
street_address,238 Augusta Ave,238 Augusta Ave
street_address,23A Casimir St,23A Casimir St
street_address,24 Bellevue Ave,24 Bellevue Ave
street_address,24 Denison Sq,24 Denison Sq
street_address,24 Kensington Ave,24 Kensington Ave
street_address,24 Kensington Pl,24 Kensington Pl
street_address,24 Lippincott St,24 Lippincott St
street_address,24 Nassau St,24 Nassau St
street_address,240 Augusta Ave,240 Augusta Ave
street_address,241 Augusta Ave,241 Augusta Ave
street_address,242 Augusta Ave,242 Augusta Ave
street_address,243 Augusta Ave,243 Augusta Ave
street_address,244 Augusta Ave,244 Augusta Ave
street_address,245 Augusta Ave,245 Augusta Ave
street_address,247 Augusta Ave,247 Augusta Ave
street_address,249 Augusta Ave,249 Augusta Ave
street_address,25 Bellevue Ave,25 Bellevue Ave
street_address,"25 Bellevue Ave, 28 Denison Sq","25 Bellevue Ave, 28 Denison Sq"
street_address,25 Casimir St,25 Casimir St
street_address,25 Kensington Ave,25 Kensington Ave
street_address,25 Leonard Ave,25 Leonard Ave
street_address,25 Oxford St,25 Oxford St
street_address,25 Wales Ave,25 Wales Ave
street_address,250 Augusta Ave,250 Augusta Ave
street_address,251 Augusta Ave,251 Augusta Ave
street_address,252 Augusta Ave,252 Augusta Ave
street_address,253 Augusta Ave,253 Augusta Ave
street_address,254 Augusta Ave,254 Augusta Ave
street_address,255 Augusta Ave,255 Augusta Ave
street_address,256 Augusta Ave,256 Augusta Ave
street_address,256C Augusta Ave,256C Augusta Ave
street_address,256D Augusta Ave,256D Augusta Ave
street_address,257 Augusta Ave,257 Augusta Ave
street_address,258 Augusta Ave,258 Augusta Ave
street_address,259 Augusta Ave,259 Augusta Ave
street_address,25A Casimir St,25A Casimir St
street_address,26 Bellevue Ave,26 Bellevue Ave
street_address,26 Denison Sq,26 Denison Sq
street_address,26 Kensington Ave,26 Kensington Ave
street_address,26 Kensington Pl,26 Kensington Pl
street_address,26 Lippincott St,26 Lippincott St
street_address,26 Nassau St,26 Nassau St
street_address,260 Augusta Ave,260 Augusta Ave
street_address,261 Augusta Ave,261 Augusta Ave
street_address,263 Augusta Ave,263 Augusta Ave
